secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-12,AP,L3,8063,8059,8054,8085,7876,7945,7898,69688,5536764600,54286,-165,-118,-0.02046385,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-16,AP,L3,7945,7898,7870,8061,7870,7959,7957,54489,4336680850,55148,12,14,0.00151038,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-17,AP,L3,7959,7957,7960,7990,7915,7964,7957,37868,3015923900,56835,-2,5,-0.00025129,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-18,AP,L3,7964,7957,7957,8058,7940,8011,8011,67803,5431916050,57981,47,47,0.00590156,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-19,AP,L3,8011,8011,8020,8047,7818,7906,7877,136290,10774854200,71467,-134,-105,-0.016727000000000002,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-20,AP,L3,7906,7877,7884,7889,7749,7822,7750,101052,7903942800,79150,-156,-84,-0.01973185,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-23,AP,L3,7822,7750,7728,7735,7466,7576,7545,242258,18354560300,93303,-277,-246,-0.03541294,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-24,AP,L3,7576,7545,7560,7613,7517,7564,7582,138867,10503524900,86431,6,-12,0.00079197,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-25,AP,L3,7564,7582,7590,7658,7522,7603,7618,143516,10911974100,81348,54,39,0.00713908,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-26,AP,L3,7603,7618,7630,7736,7556,7655,7640,187008,14315126650,78097,37,52,0.0048665,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-27,AP,L3,7655,7640,7600,7670,7472,7569,7531,170782,12926309000,77349,-124,-86,-0.01619856,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-09-30,AP,L3,7569,7531,7496,7539,7335,7403,7400,182083,13480295250,77900,-169,-166,-0.02232792,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-08,AP,L3,7403,7400,7363,7788,7351,7655,7772,263247,20151811950,74250,369,252,0.04984466,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-09,AP,L3,7655,7772,7784,7794,7594,7665,7636,195185,14961866200,75181,-19,10,-0.00248204,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-10,AP,L3,7665,7636,7660,7723,7618,7674,7660,154440,11852347850,76827,-5,9,-0.00065232,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-11,AP,L3,7674,7660,7648,7718,7534,7633,7556,186213,14214480350,79238,-118,-41,-0.015376599999999999,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-14,AP,L3,7633,7556,7569,7738,7544,7678,7701,173562,13325401850,77763,68,45,0.00890869,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-15,AP,L3,7678,7701,7670,7750,7562,7645,7686,176110,13463587850,75903,8,-33,0.00104194,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-16,AP,L3,7645,7686,7699,7728,7642,7686,7697,142075,10919464650,77077,52,41,0.00680183,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-17,AP,L3,7686,7697,7710,7774,7590,7659,7630,202662,15522623700,77672,-56,-27,-0.00728597,1,0
AP001.XZCE,AP001,XZCE,郑苹果001,Apple 001,2019-10-18,AP,L3,7659,7630,7649,7688,7481,7575,7673,247573,18752908100,72026,14,-84,0.00182791,1,0
