secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-09,AU,L0,209.99,,230.95,230.99,221.88,224.74,223.3,51682,11615064410,8171,13.31,14.75,0.06338397,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-10,AU,L0,224.74,223.3,222.5,222.85,213.7,217.68,215.12,43992,9576595330,11747,-9.62,-7.06,-0.0428,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-11,AU,L0,217.68,215.12,218.0,219.23,215.5,217.79,218.1,42709,9301998300,12712,0.42,0.11,0.0019,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-14,AU,L0,217.79,218.1,218.85,220.25,217.6,219.28,220.1,30388,6663485660,13857,2.31,1.49,0.0106,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-15,AU,L0,219.28,220.1,220.7,224.6,220.3,223.11,223.8,44121,9844161950,14933,4.52,3.83,0.0206,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-16,AU,L0,223.11,223.8,220.6,220.6,215.4,217.51,215.89,47181,10262347880,14791,-7.22,-5.6,-0.03236072,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-17,AU,L0,217.51,215.89,214.03,216.8,213.5,215.5,216.47,30981,6676468880,15458,-1.04,-2.01,-0.00478139,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-18,AU,L0,215.5,216.47,214.0,214.9,212.42,213.72,214.7,29003,6198534500,14769,-0.8,-1.78,-0.0037,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-21,AU,L0,213.72,214.7,214.7,216.33,213.8,215.2,214.2,21755,4681701390,15147,0.48,1.48,0.0022,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-22,AU,L0,215.2,214.2,208.0,209.5,204.72,207.58,206.42,39266,8150922470,14663,-8.78,-7.62,-0.04079926,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-23,AU,L0,207.58,206.42,212.0,214.25,210.9,212.59,212.51,30494,6482800450,13298,4.93,5.01,0.0237,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-24,AU,L0,212.59,212.51,213.02,217.08,212.61,214.41,216.7,28981,6214036480,15078,4.11,1.82,0.0193,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-25,AU,L0,214.41,216.7,220.1,221.4,218.32,219.81,219.8,36312,7981984400,16214,5.39,5.4,0.0251,1,0
AU0806.XSGE,au0806,XSGE,沪黄金0806,Gold 806,2008-01-28,AU,L0,219.81,219.8,219.6,221.97,219.2,220.68,220.33,31356,6919928090,16591,0.52,0.87,0.00236568,1,0
