secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-22,B,L1,2600,,2630.0,2649.0,2598.0,2618,2602,50050,1310722650,15229,2,18,0.00076923,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-23,B,L1,2618,2602.0,2601.0,2607.0,2587.0,2595,2597,17866,463729300,14378,-21,-23,-0.00802139,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-24,B,L1,2595,2597.0,2605.0,2607.0,2595.0,2598,2597,5370,139563550,12642,2,3,0.00077071,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-27,B,L1,2598,2597.0,2600.0,2602.0,2581.0,2594,2590,6600,171204550,10860,-8,-4,-0.00307929,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-28,B,L1,2594,2590.0,2604.0,2605.0,2586.0,2595,2591,4063,105438150,10156,-3,1,-0.00115652,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-29,B,L1,2595,2591.0,2583.0,2593.0,2566.0,2577,2569,4292,110645450,9871,-26,-18,-0.01001927,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-30,B,L1,2577,2569.0,2580.0,2585.0,2570.0,2577,2576,2537,65393450,9192,-1,0,-0.00038805,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2004-12-31,B,L1,2577,2576.0,2581.0,2583.0,2578.0,2580,2583,686,17702750,8802,6,3,0.00232829,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-04,B,L1,2580,2583.0,2570.0,2570.0,2533.0,2543,2540,1919,48809550,8788,-40,-37,-0.01550388,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-05,B,L1,2543,2540.0,2520.0,2550.0,2515.0,2535,2548,4780,121213000,7810,5,-8,0.00196618,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-06,B,L1,2535,2548.0,2544.0,2558.0,2538.0,2547,2554,1847,47051300,7449,19,12,0.00749507,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-07,B,L1,2547,2554.0,2560.0,2587.0,2560.0,2578,2577,3866,99684550,7141,30,31,0.01177856,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-10,B,L1,2578,2577.0,2584.0,2592.0,2567.0,2579,2575,2481,63991450,6636,-3,1,-0.00116369,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-11,B,L1,2579,2575.0,2600.0,2600.0,2585.0,2590,2590,1565,40536500,6363,11,11,0.00426522,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-12,B,L1,2590,2590.0,2585.0,2593.0,2582.0,2588,2583,830,21481800,6229,-7,-2,-0.0027026999999999997,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-13,B,L1,2588,2583.0,2571.0,2585.0,2570.0,2577,2578,554,14278850,6184,-10,-11,-0.00386399,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-14,B,L1,2577,2578.0,2580.0,2589.0,2561.0,2571,2564,1545,39736150,6126,-13,-6,-0.00504463,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-17,B,L1,2571,2564.0,2545.0,2572.0,2542.0,2552,2556,968,24712050,5809,-15,-19,-0.00583431,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-18,B,L1,2552,2556.0,2552.0,2570.0,2540.0,2556,2570,917,23443650,5742,18,4,0.00705329,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-19,B,L1,2556,2570.0,2558.0,2575.0,2555.0,2562,2567,600,15374150,5593,11,6,0.0043036,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-20,B,L1,2562,2567.0,2570.0,2570.0,2553.0,2557,2556,1330,34010400,5428,-6,-5,-0.00234192,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-21,B,L1,2557,2556.0,2558.0,2560.0,2545.0,2549,2547,2747,70039550,5318,-10,-8,-0.00391083,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-24,B,L1,2549,2547.0,2542.0,2555.0,2530.0,2549,2551,3438,87639250,5187,2,0,0.00078462,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-25,B,L1,2549,2551.0,2552.0,2552.0,2543.0,2548,2544,1911,48701800,5347,-5,-1,-0.00196155,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-26,B,L1,2548,2544.0,2553.0,2554.0,2547.0,2549,2548,2228,56796500,5677,0,1,0.0,1,0
B0505.XDCE,b0505,XDCE,连豆二0505,No.2 Soybeans 0505,2005-01-27,B,L1,2549,2548.0,2545.0,2549.0,2536.0,2540,2543,2852,72466250,6113,-6,-9,-0.00235386,1,0
