secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
C0501.XDCE,c0501,XDCE,连玉米0501,Corn 0501,2004-09-22,C,L0,1180,,1230,1235,1190,1203,1191,77908,937536500,25176,11,23,0.00932203,1,0
C0501.XDCE,c0501,XDCE,连玉米0501,Corn 0501,2004-09-23,C,L0,1203,1191.0,1181,1183,1172,1178,1176,37196,438357350,25081,-27,-25,-0.02244389,1,0
C0501.XDCE,c0501,XDCE,连玉米0501,Corn 0501,2004-09-24,C,L0,1178,1176.0,1165,1185,1165,1179,1179,29367,346280700,24534,1,1,0.0008488999999999999,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-09-27,C,L2,1198,1198.0,1191,1192,1159,1169,1159,40994,479294250,32361,-39,-29,-0.03255426,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-09-28,C,L2,1169,1159.0,1159,1171,1159,1165,1165,26681,311082400,32915,-4,-4,-0.00342173,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-09-29,C,L2,1165,1165.0,1166,1169,1151,1158,1155,25441,294800850,35464,-10,-7,-0.00858369,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-09-30,C,L2,1158,1155.0,1148,1152,1126,1138,1127,26989,307232000,39267,-31,-20,-0.02677029,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-08,C,L2,1138,1127.0,1129,1151,1116,1136,1145,31094,353489050,40936,7,-2,0.00615114,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-11,C,L2,1136,1145.0,1143,1157,1133,1149,1147,25683,295180500,41421,11,13,0.0096831,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-12,C,L2,1149,1147.0,1151,1163,1134,1148,1151,48752,560078250,43287,2,-1,0.00174064,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-13,C,L2,1148,1151.0,1143,1154,1141,1147,1144,42854,491802150,45509,-4,-1,-0.00348432,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-14,C,L2,1147,1144.0,1149,1155,1143,1149,1152,40421,464740050,47768,5,2,0.0043592,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-15,C,L2,1149,1152.0,1148,1152,1136,1140,1139,43496,496167200,47734,-10,-9,-0.00870322,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-18,C,L2,1140,1139.0,1143,1143,1133,1136,1137,30069,341792400,48067,-3,-4,-0.00263158,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-19,C,L2,1136,1137.0,1134,1151,1134,1143,1141,38048,435210950,49425,5,7,0.00440141,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-20,C,L2,1143,1141.0,1150,1158,1145,1152,1157,49666,572193050,56793,14,9,0.01224847,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-21,C,L2,1152,1157.0,1155,1155,1146,1150,1149,32403,372678700,59869,-3,-2,-0.00260417,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-22,C,L2,1150,1149.0,1147,1148,1136,1139,1138,36960,421244050,53710,-12,-11,-0.01043478,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-25,C,L2,1139,1138.0,1138,1147,1133,1140,1142,29902,341103700,47996,3,1,0.00263389,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-26,C,L2,1140,1142.0,1151,1151,1142,1146,1144,14682,168258400,50290,4,6,0.00350877,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-27,C,L2,1146,1144.0,1146,1148,1143,1145,1146,13703,156911250,50397,0,-1,0.0,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-28,C,L2,1145,1146.0,1142,1149,1139,1145,1148,24494,280542450,48277,3,0,0.00262009,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-10-29,C,L2,1145,1148.0,1142,1148,1140,1143,1142,18124,207200350,46755,-3,-2,-0.00262009,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-01,C,L2,1143,1142.0,1138,1141,1125,1132,1132,56806,643581450,55239,-11,-11,-0.0096238,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-02,C,L2,1132,1132.0,1128,1138,1127,1134,1137,37464,424858700,59964,5,2,0.00441696,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-03,C,L2,1134,1137.0,1136,1138,1130,1134,1138,37738,428058500,58067,4,0,0.00352734,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-04,C,L2,1134,1138.0,1139,1139,1133,1135,1137,28924,328547050,57960,3,1,0.0026455,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-05,C,L2,1135,1137.0,1133,1152,1132,1144,1143,69458,794908050,62682,8,9,0.00704846,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-08,C,L2,1144,1143.0,1145,1147,1141,1143,1141,25243,288773900,61433,-3,-1,-0.00262238,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-09,C,L2,1143,1141.0,1141,1145,1138,1141,1141,36194,413121250,60398,-2,-2,-0.00174978,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-10,C,L2,1141,1141.0,1142,1142,1137,1138,1140,40319,459212100,59460,-1,-3,-0.00087642,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-11,C,L2,1138,1140.0,1140,1143,1137,1139,1138,30357,345800000,60012,0,1,0.0,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-12,C,L2,1139,1138.0,1138,1140,1131,1136,1134,40148,456311350,63176,-5,-3,-0.00438982,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-15,C,L2,1136,1134.0,1138,1151,1137,1144,1145,62877,719730950,61413,9,8,0.00792254,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-16,C,L2,1144,1145.0,1149,1155,1144,1148,1146,48416,556111900,68464,2,4,0.00174825,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-17,C,L2,1148,1146.0,1148,1150,1143,1146,1148,30629,351201050,68252,0,-2,0.0,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-18,C,L2,1146,1148.0,1153,1158,1150,1153,1155,51946,599213000,74798,9,7,0.0078534,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-19,C,L2,1153,1155.0,1152,1154,1147,1150,1153,32469,373424100,76108,0,-3,0.0,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-22,C,L2,1150,1153.0,1146,1149,1145,1147,1147,34323,393890550,76833,-3,-3,-0.0026087,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-23,C,L2,1147,1147.0,1146,1151,1146,1149,1148,49774,571913450,74564,1,2,0.00087184,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-24,C,L2,1149,1148.0,1149,1154,1149,1151,1154,36973,425902100,72615,5,2,0.00435161,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-25,C,L2,1151,1154.0,1153,1172,1152,1164,1169,94724,1102970900,93707,18,13,0.01563858,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-26,C,L2,1164,1169.0,1170,1172,1162,1167,1167,47300,552117500,95923,3,3,0.00257732,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-29,C,L2,1167,1167.0,1164,1165,1147,1154,1149,76339,881147800,87566,-18,-13,-0.01542416,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-11-30,C,L2,1154,1149.0,1147,1152,1146,1149,1149,42109,484180050,80061,-5,-5,-0.00433276,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-12-01,C,L2,1149,1149.0,1148,1157,1148,1153,1156,66271,764267300,83259,7,4,0.00609225,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-12-02,C,L2,1153,1156.0,1154,1163,1150,1155,1153,50837,587329300,83568,0,2,0.0,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-12-03,C,L2,1155,1153.0,1152,1159,1151,1155,1158,60522,699136400,85789,3,0,0.0025974,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-12-06,C,L2,1155,1158.0,1161,1173,1160,1166,1166,95244,1110672650,95186,11,11,0.00952381,1,0
C0505.XDCE,c0505,XDCE,连玉米0505,Corn 0505,2004-12-07,C,L2,1166,1166.0,1170,1170,1161,1164,1162,79529,926466250,94192,-4,-2,-0.00343053,1,0
