secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-10,EG,L0,6000,6000,5600,5781,5550,5687,5674,337338,19186941630,34763,-326,-313,-0.05433333,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-11,EG,L0,5687,5674,5618,5680,5497,5569,5541,240977,13420772430,41561,-146,-118,-0.02567259,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-12,EG,L0,5569,5541,5580,5598,5513,5551,5544,150993,8382744740,44256,-25,-18,-0.00448914,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-13,EG,L0,5551,5544,5519,5646,5475,5560,5591,178462,9924241950,44994,40,9,0.00720591,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-14,EG,L0,5560,5591,5647,5666,5583,5620,5606,93932,5279721240,46865,46,60,0.00827338,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-17,EG,L0,5620,5606,5592,5637,5566,5615,5618,61887,3475207560,49596,-2,-5,-0.00035587,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-18,EG,L0,5615,5618,5588,5628,5570,5602,5627,61376,3438622120,47831,12,-13,0.00213713,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-19,EG,L0,5602,5627,5579,5635,5551,5590,5620,73894,4131296660,44420,18,-12,0.00321314,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-20,EG,L0,5590,5620,5628,5635,5564,5599,5576,49598,2776998420,45048,-14,9,-0.00250447,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-21,EG,L0,5599,5576,5561,5576,5320,5410,5418,275542,14908974330,55850,-181,-189,-0.0323272,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-24,EG,L0,5410,5418,5380,5385,5306,5344,5332,126470,6759063220,61480,-78,-66,-0.01441774,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-25,EG,L0,5344,5332,5200,5231,5128,5174,5174,158313,8191115180,60073,-170,-170,-0.03181138,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-26,EG,L0,5174,5174,5200,5229,5128,5169,5152,136210,7040836890,60505,-22,-5,-0.00425203,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-27,EG,L0,5169,5152,5301,5377,5135,5215,5135,157777,8228455190,71043,-34,46,-0.00657767,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2018-12-28,EG,L0,5215,5135,5141,5166,5088,5122,5134,165545,8480366860,62970,-81,-93,-0.01553212,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-02,EG,L0,5122,5134,5105,5134,5046,5084,5051,122708,6239268180,72217,-71,-38,-0.01386177,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-03,EG,L0,5084,5051,5093,5152,5068,5111,5127,133101,6803970980,73291,43,27,0.00845791,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-04,EG,L0,5111,5127,5150,5181,5094,5137,5152,141912,7290647950,72764,41,26,0.00802191,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-07,EG,L0,5137,5152,5167,5200,5125,5155,5133,109827,5662625710,83520,-4,18,-0.00077866,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-08,EG,L0,5155,5133,5140,5168,5066,5100,5080,164400,8386004330,94088,-75,-55,-0.01454898,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-09,EG,L0,5100,5080,5136,5187,5111,5153,5122,176816,9111860200,96407,22,53,0.00431373,1,0
EG1906.XDCE,eg1906,XDCE,连乙二醇1906,Ethylene Glycol 1906,2019-01-10,EG,L0,5153,5122,5162,5168,5087,5137,5092,146054,7503901470,106957,-61,-16,-0.01183776,1,0
