secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-06,FB,L1,76.0,,74.8,74.95,71.8,73.15,72.05,51038,1867279400,5231,-3.95,-2.85,-0.05197368,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-09,FB,L1,73.15,72.05,71.5,76.05,71.4,74.4,74.15,190921,7104477850,13537,1.0,1.25,0.01367054,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-10,FB,L1,74.4,74.15,73.95,74.85,72.3,73.5,72.6,214682,7893083700,18728,-1.8,-0.9,-0.02419355,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-11,FB,L1,73.5,72.6,72.6,73.5,72.35,72.9,73.4,128544,4688546500,17604,-0.1,-0.6,-0.00136054,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-12,FB,L1,72.9,73.4,73.5,75.8,73.3,75.15,75.35,203946,7665719650,20475,2.45,2.25,0.0336,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-13,FB,L1,75.15,75.35,75.15,75.85,73.8,74.8,74.8,230868,8636132150,21101,-0.35,-0.35,-0.00465735,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-16,FB,L1,74.8,74.8,74.9,75.65,73.6,74.45,74.7,136764,5091815250,20305,-0.1,-0.35,-0.0013,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-17,FB,L1,74.45,74.7,74.9,75.35,74.2,74.65,74.2,100452,3749584850,18987,-0.25,0.2,-0.00335796,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-18,FB,L1,74.65,74.2,74.0,74.4,72.95,73.6,73.6,93256,3433780150,16538,-1.05,-1.05,-0.01406564,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-19,FB,L1,73.6,73.6,73.6,73.85,72.75,73.25,72.95,64189,2351406700,15328,-0.65,-0.35,-0.0088,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-20,FB,L1,73.25,72.95,72.95,73.65,72.6,73.1,73.3,50294,1838788450,16160,0.05,-0.15,0.00068259,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-23,FB,L1,73.1,73.3,73.1,75.7,72.85,74.75,74.8,176118,6582577750,24916,1.7,1.65,0.02325581,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-24,FB,L1,74.75,74.8,75.0,75.35,74.25,74.8,74.55,105932,3963037100,19293,-0.2,0.05,-0.00267559,1,0
FB1405.XDCE,fb1405,XDCE,连纤维板1405,Medium Density Fiberboard 1405,2013-12-25,FB,L1,74.8,74.55,74.55,75.1,74.05,74.65,74.2,71629,2673907300,16961,-0.6,-0.15,-0.008,1,0
