secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-09,FG,,1383,1377.0,1380,1389,1368,1381,1384,97660,2696502650,123122,1,-2,0.00072307,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-12,FG,,1381,1384.0,1385,1418,1379,1393,1412,135206,3766912300,138969,31,12,0.0224475,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-13,FG,,1393,1412.0,1410,1412,1394,1402,1400,86762,2432088000,145407,7,9,0.00502513,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-14,FG,,1402,1400.0,1401,1418,1398,1411,1416,117285,3310331150,157767,14,9,0.00998573,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-15,FG,L4,1411,1416.0,1419,1430,1410,1420,1426,131414,3732718700,165352,15,9,0.01063076,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-16,FG,L4,1420,1426.0,1423,1439,1423,1431,1426,103991,2977142100,167903,6,11,0.00422535,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-19,FG,L4,1431,1426.0,1427,1437,1424,1430,1430,89783,2568334250,170965,-1,-1,-0.00069881,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-20,FG,L4,1430,1430.0,1432,1438,1427,1433,1432,70747,2027520400,177673,2,3,0.0013985999999999998,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-21,FG,L4,1433,1432.0,1433,1434,1415,1422,1424,135914,3865115850,182382,-9,-11,-0.00628053,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-22,FG,L4,1422,1424.0,1426,1427,1416,1421,1420,90860,2583138150,189115,-2,-1,-0.00140647,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-23,FG,L4,1421,1420.0,1419,1422,1396,1406,1405,163635,4600297750,181524,-16,-15,-0.01125968,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-26,FG,L4,1406,1405.0,1402,1410,1382,1394,1388,141203,3935774600,177965,-18,-12,-0.01280228,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-27,FG,L4,1394,1388.0,1390,1399,1383,1391,1386,101533,2824222750,178540,-8,-3,-0.00573888,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-28,FG,L4,1391,1386.0,1388,1395,1372,1382,1391,120019,3318465100,177557,0,-9,0.0,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-29,FG,L4,1382,1391.0,1390,1395,1378,1387,1379,80791,2240616500,178262,-3,5,-0.00217077,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-08-30,FG,L4,1387,1379.0,1379,1394,1374,1384,1376,135422,3749251050,182926,-11,-3,-0.00793079,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-09-02,FG,L4,1384,1376.0,1376,1394,1373,1385,1394,107617,2981185500,178368,10,1,0.00722543,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-09-03,FG,L4,1385,1394.0,1393,1398,1386,1391,1387,65170,1812423000,178141,2,6,0.00144404,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-09-04,FG,L4,1391,1387.0,1386,1415,1381,1397,1414,122646,3426060800,178473,23,6,0.01653487,1,0
FG001.XZCE,FG001,XZCE,郑玻璃001,Flat Glass 001,2019-09-05,FG,L4,1397,1414.0,1414,1420,1408,1414,1408,112832,3191383750,177381,11,17,0.00787402,1,0
