secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-16,IF,L0,3431.2,,3450.0,3488.0,3413.2,3431.2,3415.6,48988,50538805320,2702,-15.6,0.0,-0.00454651,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-19,IF,L0,3431.2,3415.6,3396.0,3398.0,3166.2,3201.2,3197.4,109733,108206412240,3954,-233.8,-230.0,-0.0681,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-20,IF,L0,3201.2,3197.4,3209.2,3240.0,3168.8,3216.6,3214.6,141862,136342090260,4496,13.4,15.4,0.00418593,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-21,IF,L0,3216.6,3214.6,3215.0,3281.2,3208.0,3266.0,3267.2,114531,111267894900,5062,50.6,49.4,0.0157,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-22,IF,L0,3266.0,3267.2,3260.2,3274.4,3211.0,3240.0,3236.2,133247,129629807580,5383,-29.8,-26.0,-0.0091,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-23,IF,L0,3240.0,3236.2,3241.0,3266.0,3221.0,3235.6,3221.2,116981,113886815340,5808,-18.8,-4.4,-0.0058,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-26,IF,L0,3235.6,3221.2,3243.0,3252.0,3211.8,3224.8,3219.6,112229,108949727760,7079,-16.0,-10.8,-0.0049,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-27,IF,L0,3224.8,3219.6,3201.2,3205.0,3107.6,3121.8,3138.8,139961,132007160220,7386,-86.0,-103.0,-0.02666832,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-28,IF,L0,3121.8,3138.8,3101.6,3142.6,3094.2,3132.8,3129.0,128530,120470298960,7092,7.2,11.0,0.0023,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-29,IF,L0,3132.8,3129.0,3141.0,3157.6,3082.2,3114.4,3083.8,116254,109415653800,8705,-49.0,-18.4,-0.0156,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-04-30,IF,L0,3114.4,3083.8,3103.0,3119.6,3043.0,3089.8,3107.0,184157,170310301560,8297,-7.4,-24.6,-0.00237606,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-04,IF,L0,3089.8,3107.0,3079.8,3094.4,3060.8,3069.4,3076.4,150123,138591347640,8261,-13.4,-20.4,-0.0043,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-05,IF,L0,3069.4,3076.4,3046.4,3087.0,3031.0,3078.6,3076.4,145542,133493198400,9600,7.0,9.2,0.00228058,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-06,IF,L0,3078.6,3076.4,3078.6,3083.4,2953.6,2972.6,2967.4,170221,154506808620,10150,-111.2,-106.0,-0.0361,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-07,IF,L0,2972.6,2967.4,2928.0,2959.8,2862.2,2896.0,2897.6,240106,209597905020,8282,-75.0,-76.6,-0.0252,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-10,IF,L0,2896.0,2897.6,2910.0,2931.0,2870.0,2912.0,2918.0,201919,175917197580,9873,22.0,16.0,0.00759669,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-11,IF,L0,2912.0,2918.0,2949.0,2957.8,2797.2,2816.4,2801.6,224626,194325112440,8987,-110.4,-95.6,-0.0379,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-12,IF,L0,2816.4,2801.6,2809.0,2855.0,2782.0,2829.2,2836.2,273131,231214055220,8144,19.8,12.8,0.006999999999999999,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-13,IF,L0,2829.2,2836.2,2847.8,2915.6,2823.0,2902.8,2894.6,217422,186684124080,8276,65.4,73.6,0.0231,1,0
IF1005.CCFX,IF1005,CCFX,沪深1005,CSI 300 Index 1005,2010-05-14,IF,L0,2902.8,2894.6,2880.0,2894.8,2850.4,2861.2,2862.6,185453,159865825860,6237,-40.2,-41.6,-0.0138,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-17,IF,L1,2885.6,2883.0,2845.0,2855.6,2712.4,2729.2,2722.4,101412,84343907520,9230,-163.2,-156.4,-0.0565567,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-18,IF,L1,2729.2,2722.4,2711.8,2848.0,2708.4,2818.2,2810.4,261582,217321893000,11428,81.2,89.0,0.02975231,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-19,IF,L1,2818.2,2810.4,2779.2,2859.0,2734.2,2798.0,2784.8,340531,285893705400,12817,-33.4,-20.2,-0.01185154,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-20,IF,L1,2798.0,2784.8,2801.0,2844.8,2742.2,2761.2,2763.2,293133,245427271020,14774,-34.8,-36.8,-0.0124,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-21,IF,L1,2761.2,2763.2,2702.0,2802.8,2677.0,2789.0,2801.0,307325,253016880540,13329,39.8,27.8,0.0144,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-24,IF,L0,2789.0,2801.0,2814.0,2933.4,2808.0,2908.6,2902.0,300512,260913834480,15770,113.0,119.6,0.0405,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-25,IF,L0,2908.6,2902.0,2880.0,2889.2,2811.0,2833.6,2813.2,288927,247386085680,15644,-95.4,-75.0,-0.03279928,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-26,IF,L0,2833.6,2813.2,2846.2,2878.8,2817.6,2829.0,2839.6,326246,278374416960,15219,6.0,-4.6,0.0021,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-27,IF,L0,2829.0,2839.6,2825.0,2909.8,2790.0,2896.4,2901.4,325500,277922283960,16397,72.4,67.4,0.02559208,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-28,IF,L0,2896.4,2901.4,2930.0,2942.0,2853.0,2869.8,2865.2,306690,266372949120,16764,-31.2,-26.6,-0.01077199,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-05-31,IF,L0,2869.8,2865.2,2850.0,2898.8,2786.2,2811.8,2792.0,337678,288432453780,18662,-77.8,-58.0,-0.0271,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-01,IF,L0,2811.8,2792.0,2780.0,2820.6,2732.0,2760.6,2762.0,420130,349613435400,17746,-49.8,-51.2,-0.0177,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-02,IF,L0,2760.6,2762.0,2758.0,2781.4,2718.2,2762.0,2776.4,343923,284048065440,18691,15.8,1.4,0.0057,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-03,IF,L0,2762.0,2776.4,2799.8,2807.0,2741.0,2762.8,2748.0,342961,285871068720,18712,-14.0,0.8,-0.00506879,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-04,IF,L0,2762.8,2748.0,2740.0,2767.8,2722.2,2755.6,2761.0,324387,267206428320,16354,-1.8,-7.2,-0.00065151,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-07,IF,L0,2755.6,2761.0,2700.0,2718.0,2680.0,2704.8,2706.2,289681,234726771300,15673,-49.4,-50.8,-0.0179,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-08,IF,L0,2704.8,2706.2,2709.8,2726.0,2683.0,2699.4,2724.4,225087,182970962340,16526,19.6,-5.4,0.0072,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-09,IF,L0,2699.4,2724.4,2720.4,2808.0,2700.4,2786.0,2788.8,314559,258644958840,16740,89.4,86.6,0.0331,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-10,IF,L0,2786.0,2788.8,2776.0,2791.0,2763.0,2772.0,2769.6,232630,193539405960,14040,-16.4,-14.0,-0.00588658,1,0
IF1006.CCFX,IF1006,CCFX,沪深1006,CSI 300 Index 1006,2010-06-11,IF,L0,2772.0,2769.6,2788.0,2796.8,2765.0,2773.0,2765.8,169575,141499445520,10034,-6.2,1.0,-0.0022,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-17,IF,L1,2796.8,2791.0,2815.0,2816.0,2760.0,2776.4,2762.6,157022,131499853560,16693,-34.2,-20.4,-0.0122,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-18,IF,L1,2776.4,2762.6,2762.4,2779.0,2705.8,2727.4,2718.2,249981,206537988360,19752,-58.2,-49.0,-0.020962400000000003,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-21,IF,L0,2727.4,2718.2,2749.2,2816.6,2718.0,2809.2,2804.8,277989,230887603440,21545,77.4,81.8,0.02837868,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-22,IF,L0,2809.2,2804.8,2795.6,2815.0,2793.2,2799.6,2797.6,220831,185624416020,19828,-11.6,-9.6,-0.0041,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-23,IF,L0,2799.6,2797.6,2785.0,2801.6,2743.0,2761.6,2765.2,238316,198109237620,19132,-34.4,-38.0,-0.01228747,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-24,IF,L0,2761.6,2765.2,2771.0,2810.0,2750.0,2766.8,2771.0,297949,247888096200,18877,9.4,5.2,0.0034,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-25,IF,L0,2766.8,2771.0,2759.0,2772.8,2736.0,2752.0,2753.8,249654,206254412760,18599,-13.0,-14.8,-0.00469857,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-28,IF,L0,2752.0,2753.8,2751.6,2763.8,2731.4,2738.2,2741.6,210541,173555561220,20726,-10.4,-13.8,-0.00377907,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-29,IF,L0,2738.2,2741.6,2741.6,2746.8,2598.4,2610.4,2600.4,298585,238816511580,24070,-137.8,-127.8,-0.0503,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-06-30,IF,L0,2610.4,2600.4,2580.0,2593.0,2563.0,2573.2,2579.0,247753,191603239920,21872,-31.4,-37.2,-0.012,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-01,IF,L0,2573.2,2579.0,2577.8,2584.6,2535.6,2546.0,2545.2,243922,187585068120,23657,-28.0,-27.2,-0.01088139,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-02,IF,L0,2546.0,2545.2,2550.0,2565.0,2478.8,2543.6,2546.0,367858,278952022140,24119,0.0,-2.4,0.0,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-05,IF,L0,2543.6,2546.0,2535.0,2549.6,2479.6,2531.4,2530.6,359351,271062935820,22692,-13.0,-12.2,-0.0051,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-06,IF,L0,2531.4,2530.6,2521.4,2585.0,2511.2,2558.4,2564.6,365680,280310948280,22426,33.2,27.0,0.0131,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-07,IF,L0,2558.4,2564.6,2558.0,2582.0,2546.2,2564.8,2568.4,318135,244524809400,21290,10.0,6.4,0.0039,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-08,IF,L0,2564.8,2568.4,2591.0,2599.4,2562.0,2574.6,2569.0,254951,197178504600,21332,4.2,9.8,0.0016,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-09,IF,L0,2574.6,2569.0,2573.2,2668.0,2563.0,2652.0,2650.0,327713,257431423800,20855,75.4,77.4,0.0292861,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-12,IF,L0,2652.0,2650.0,2652.0,2693.0,2647.2,2666.2,2660.6,289268,231451437000,19620,8.6,14.2,0.0032,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-13,IF,L0,2666.2,2660.6,2651.0,2653.0,2618.6,2632.0,2626.0,269627,212904561000,14223,-40.2,-34.2,-0.01507764,1,0
IF1007.CCFX,IF1007,CCFX,沪深1007,CSI 300 Index 1007,2010-07-14,IF,L0,2632.0,2626.0,2640.0,2679.2,2630.0,2641.6,2647.0,209930,167221261200,10544,15.0,9.6,0.00569909,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-15,IF,L1,2653.2,2654.6,2650.0,2738.0,2608.0,2627.4,2610.8,392898,313686570900,20498,-42.4,-25.8,-0.0159807,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-16,IF,L1,2627.4,2610.8,2613.0,2629.8,2588.0,2619.2,2620.6,360667,282133917540,20799,-6.8,-8.2,-0.00258811,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-19,IF,L0,2619.2,2620.6,2600.2,2715.2,2593.6,2691.4,2697.6,379966,301743388380,23283,78.4,72.2,0.0299,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-20,IF,L0,2691.4,2697.6,2702.0,2761.0,2700.4,2745.2,2746.0,390979,320947659780,22339,54.6,53.8,0.02028684,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-21,IF,L0,2745.2,2746.0,2749.0,2758.4,2733.8,2744.0,2744.4,308125,253796062680,23282,-0.8,-1.2,-0.00029142,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-22,IF,L0,2744.0,2744.4,2740.0,2785.6,2736.2,2774.6,2784.4,385991,319941708420,24307,40.4,30.6,0.0147,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-23,IF,L0,2774.6,2784.4,2790.0,2800.8,2765.2,2782.2,2783.6,326508,272741826540,22706,9.0,7.6,0.0032,1,0
IF1008.CCFX,IF1008,CCFX,沪深1008,CSI 300 Index 1008,2010-07-26,IF,L0,2782.2,2783.6,2792.0,2803.2,2769.2,2793.8,2796.8,295351,247139341260,24625,14.6,11.6,0.0052,1,0
