secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-07-31,L,L1,12200,,12780,12900,12435,12610,12580,10778,679715500,1214,380,410,0.0311,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-01,L,L1,12610,12580.0,12650,12650,12390,12490,12450,2364,147658900,1147,-160,-120,-0.01268834,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-02,L,L1,12490,12450.0,12410,12490,12300,12410,12460,2558,158756200,1370,-30,-80,-0.0024,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-03,L,L1,12410,12460.0,12440,12560,12410,12495,12495,2405,150276000,1513,85,85,0.0068,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-06,L,L1,12495,12495.0,12420,12670,12420,12580,12550,3240,203871400,1848,55,85,0.0044,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-07,L,L1,12580,12550.0,12455,12570,12440,12515,12515,1522,95260400,1476,-65,-65,-0.00516693,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-08,L,L1,12515,12515.0,12540,12640,12540,12590,12580,1062,66864500,1512,65,75,0.00519377,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-09,L,L1,12590,12580.0,12575,12795,12560,12670,12770,2315,146665750,2226,180,80,0.01429706,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-10,L,L1,12670,12770.0,12710,12850,12620,12720,12700,4112,261578550,2354,30,50,0.0023678,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-13,L,L1,12720,12700.0,12745,12780,12660,12690,12685,1370,86949000,2061,-35,-30,-0.00275157,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-14,L,L1,12690,12685.0,12665,12680,12525,12575,12530,1566,98470800,1932,-160,-115,-0.0126,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-15,L,L1,12575,12530.0,12530,12600,12520,12555,12565,1083,67999400,1954,-10,-20,-0.00079523,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-16,L,L1,12555,12565.0,12595,12620,12510,12540,12515,1264,79257300,1799,-40,-15,-0.00318598,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-17,L,L1,12540,12515.0,12480,12555,12320,12490,12495,1607,100370100,1804,-45,-50,-0.00358852,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-20,L,L1,12490,12495.0,12520,12580,12505,12540,12555,1205,75580400,1540,65,50,0.0052,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-21,L,L1,12540,12555.0,12530,12550,12500,12525,12530,698,43720650,1485,-10,-15,-0.00079745,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-22,L,L1,12525,12530.0,12495,12550,12485,12520,12545,566,35432050,1478,20,-5,0.00159681,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-23,L,L1,12520,12545.0,12600,12600,12535,12545,12545,615,38586400,1530,25,25,0.00199681,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-24,L,L1,12545,12545.0,12520,12560,12510,12525,12515,443,27742950,1457,-30,-20,-0.00239139,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-27,L,L1,12525,12515.0,12525,12525,12450,12475,12455,904,56387650,1750,-70,-50,-0.00558882,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-28,L,L1,12475,12455.0,12455,12475,12415,12440,12445,527,32791700,1672,-30,-35,-0.0024,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-29,L,L1,12440,12445.0,12440,12440,12370,12395,12390,820,50820500,1882,-50,-45,-0.004,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-30,L,L1,12395,12390.0,12480,12480,12345,12385,12360,1038,64295000,1920,-35,-10,-0.0028,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-08-31,L,L1,12385,12360.0,12390,12390,12250,12295,12300,1105,67939950,1817,-85,-90,-0.00686314,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-03,L,L1,12295,12300.0,12315,12380,12290,12345,12360,716,44202100,1961,65,50,0.0052867,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-04,L,L1,12345,12360.0,12360,12390,12325,12355,12340,849,52457200,1906,-5,10,-0.0004,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-05,L,L1,12355,12340.0,12305,12340,12275,12315,12320,621,38251750,1883,-35,-40,-0.0028,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-06,L,L1,12315,12320.0,12310,12425,12310,12375,12390,921,56992450,1799,75,60,0.00609013,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-07,L,L1,12375,12390.0,12405,12455,12375,12405,12405,857,53166300,1783,30,30,0.0024,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-10,L,L1,12405,12405.0,12410,12435,12330,12370,12375,654,40451450,1688,-30,-35,-0.0024,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-11,L,L1,12370,12375.0,12370,12420,12360,12390,12370,551,34139150,1594,0,20,0.0,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-12,L,L1,12390,12370.0,12370,12405,12330,12375,12370,478,29580600,1563,-20,-15,-0.0016,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-13,L,L1,12375,12370.0,12410,12410,12370,12390,12370,499,30917450,1488,-5,15,-0.0004,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-14,L,L1,12390,12370.0,12350,12385,12350,12360,12365,424,26213350,1429,-25,-30,-0.002,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-17,L,L1,12360,12365.0,12280,12360,12280,12340,12355,518,31969700,1347,-5,-20,-0.0004,1,0
L0711.XDCE,l0711,XDCE,连乙烯0711,Linear Low Density Polyethylene (LLDPE) 711,2007-09-18,L,L1,12340,12355.0,12370,12390,12365,12370,12375,514,31800500,1224,35,30,0.0028,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-19,L,L3,12545,12550.0,12590,12620,12570,12600,12600,2917,183816050,1699,55,55,0.00438422,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-20,L,L3,12600,12600.0,12595,12600,12510,12560,12590,4747,298146050,1918,-10,-40,-0.00079365,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-21,L,L3,12560,12590.0,12610,12615,12560,12580,12580,2977,187254200,1938,20,20,0.00159236,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-24,L,L3,12580,12580.0,12595,12600,12515,12530,12530,2595,162623650,1867,-50,-50,-0.00397456,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-25,L,L3,12530,12530.0,12500,12525,12465,12495,12500,2178,136093450,1791,-30,-35,-0.00239425,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-26,L,L3,12495,12500.0,12495,12515,12460,12495,12490,2462,153840350,1768,-5,0,-0.0004,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-27,L,L3,12495,12490.0,12520,12520,12470,12495,12480,2531,158183900,1826,-15,0,-0.0012,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-09-28,L,L3,12495,12480.0,12500,12520,12485,12505,12520,1860,116316250,1870,25,10,0.002,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-08,L,L3,12505,12520.0,12520,12600,12500,12545,12550,2673,167718450,1923,45,40,0.00359856,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-09,L,L3,12545,12550.0,12500,12545,12485,12500,12515,2126,132880250,1914,-30,-45,-0.00239139,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-10,L,L3,12500,12515.0,12530,12580,12505,12540,12555,2121,133014900,2158,55,40,0.0044,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-11,L,L3,12540,12555.0,12595,12595,12555,12575,12585,3216,202258050,2300,45,35,0.00358852,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-12,L,L3,12575,12585.0,12600,12740,12595,12665,12625,6236,394903500,3358,50,90,0.00397614,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-15,L,L3,12665,12625.0,12650,12685,12620,12655,12670,4318,273222900,3464,5,-10,0.00039479,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-16,L,L3,12655,12670.0,12700,12760,12680,12720,12720,5266,335036800,3894,65,65,0.0051,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-17,L,L3,12720,12720.0,12725,12780,12670,12720,12675,4368,277895650,3539,-45,0,-0.0035,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-18,L,L3,12720,12675.0,12635,12675,12630,12655,12660,3136,198432500,3461,-60,-65,-0.0047,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-19,L,L3,12655,12660.0,12700,12700,12665,12675,12680,3332,211239000,3532,25,20,0.0019755,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-22,L,L2,12675,12680.0,12625,12740,12625,12695,12735,3822,242624600,3862,60,20,0.0047,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-23,L,L2,12695,12735.0,12730,12850,12730,12800,12800,4909,314207650,3999,105,105,0.00827097,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-24,L,L2,12800,12800.0,12780,12815,12755,12785,12800,3277,209483750,4043,0,-15,0.0,1,0
L0801.XDCE,l0801,XDCE,连乙烯0801,Linear Low Density Polyethylene (LLDPE) 801,2007-10-25,L,L2,12785,12800.0,12830,12835,12750,12780,12820,3248,207561600,3824,35,-5,0.0027,1,0
