secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-16,MA,L4,2236,2234.0,2227,2230,2190,2210,2194,643687,14226638950,596869,-42,-26,-0.01878354,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-19,MA,L4,2210,2194.0,2188,2217,2186,2204,2211,613166,13511433900,622755,1,-6,0.00045249,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-20,MA,L4,2204,2211.0,2207,2219,2176,2200,2194,811372,17851874100,763727,-10,-4,-0.00453721,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-21,MA,L4,2200,2194.0,2190,2194,2122,2148,2135,1100508,23642494600,848066,-65,-52,-0.02954545,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-22,MA,L4,2148,2135.0,2138,2154,2126,2139,2145,681967,14587696450,768779,-3,-9,-0.00139665,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-23,MA,L4,2139,2145.0,2147,2168,2133,2149,2163,668426,14363964050,755122,24,10,0.011220200000000001,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-26,MA,L4,2149,2163.0,2152,2180,2136,2162,2142,916273,19811602800,766006,-7,13,-0.00325733,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-27,MA,L4,2162,2142.0,2146,2163,2109,2136,2117,960437,20518723950,850120,-45,-26,-0.02081406,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-28,MA,L4,2136,2117.0,2123,2167,2117,2143,2164,874089,18734797250,725405,28,7,0.01310861,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-29,MA,L4,2143,2164.0,2164,2174,2128,2150,2144,849628,18271037250,818723,1,7,0.00046664,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-08-30,MA,L4,2150,2144.0,2145,2158,2125,2140,2140,766608,16408232350,778754,-10,-10,-0.00465116,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-02,MA,L4,2140,2140.0,2142,2212,2141,2172,2209,1113929,24197143950,817746,69,32,0.03224299,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-03,MA,L4,2172,2209.0,2210,2232,2196,2212,2209,881352,19495475150,719640,37,40,0.01703499,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-04,MA,L4,2212,2209.0,2202,2227,2198,2215,2223,669863,14837109200,730077,11,3,0.00497288,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-05,MA,L4,2215,2223.0,2225,2250,2180,2215,2183,1337066,29609824650,842189,-32,0,-0.01444695,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-06,MA,L4,2215,2183.0,2183,2208,2174,2194,2203,813647,17853556250,725840,-12,-21,-0.00541761,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-09,MA,L4,2194,2203.0,2208,2264,2206,2229,2260,1002675,22345289100,789218,66,35,0.03008204,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-10,MA,L4,2229,2260.0,2264,2266,2238,2251,2247,654416,14727753450,711276,18,22,0.00807537,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-11,MA,L4,2251,2247.0,2248,2263,2233,2248,2245,630146,14164252750,692192,-6,-3,-0.00266548,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-12,MA,L4,2248,2245.0,2245,2253,2233,2244,2248,570716,12809510400,665800,0,-4,0.0,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-16,MA,L4,2244,2248.0,2310,2355,2289,2326,2347,931382,21667801500,682020,103,82,0.04590018,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-17,MA,L3,2326,2347.0,2360,2434,2347,2392,2390,1377214,32939782600,694802,64,66,0.02751505,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-18,MA,L3,2392,2390.0,2389,2392,2289,2330,2306,1356116,31603012800,663830,-86,-62,-0.03595318,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-19,MA,L3,2330,2306.0,2285,2312,2277,2296,2299,921602,21159126100,622960,-31,-34,-0.01330472,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-20,MA,L3,2296,2299.0,2313,2330,2287,2310,2316,965027,22291911600,657891,20,14,0.0087108,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-23,MA,L3,2310,2316.0,2320,2382,2320,2357,2377,988296,23289680250,655156,67,47,0.02900433,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-24,MA,L3,2357,2377.0,2374,2391,2343,2369,2379,997326,23624358150,698381,22,12,0.0093339,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-25,MA,L3,2369,2379.0,2376,2415,2354,2382,2404,1147676,27332864700,706203,35,13,0.01477417,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-26,MA,L3,2382,2404.0,2404,2422,2345,2389,2377,1346642,32167701000,719442,-5,7,-0.00209908,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-27,MA,L3,2389,2377.0,2365,2378,2323,2355,2341,1002045,23594408500,591312,-48,-34,-0.02009209,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-09-30,MA,L3,2355,2341.0,2330,2418,2324,2377,2406,933173,22178460500,593643,51,22,0.02165605,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-08,MA,L3,2377,2406.0,2390,2427,2384,2399,2398,435831,10455960650,555780,21,22,0.00883467,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-09,MA,L3,2399,2398.0,2391,2417,2367,2388,2397,942971,22518017150,704204,-2,-11,-0.00083368,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-10,MA,L3,2388,2397.0,2400,2423,2352,2384,2364,1121036,26730492950,669710,-24,-4,-0.01005025,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-11,MA,L3,2384,2364.0,2364,2368,2306,2338,2325,1099578,25711151500,728763,-59,-46,-0.02474832,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-14,MA,L3,2338,2325.0,2325,2338,2287,2310,2289,1024187,23660377300,680320,-49,-28,-0.02095808,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-15,MA,L3,2310,2289.0,2285,2311,2263,2287,2274,845551,19340880050,707322,-36,-23,-0.01558442,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-16,MA,L3,2287,2274.0,2276,2284,2197,2241,2206,1224417,27442441100,797621,-81,-46,-0.03541758,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-17,MA,L3,2241,2206.0,2207,2213,2181,2198,2198,883079,19412410150,762172,-43,-43,-0.01918786,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-18,MA,L3,2198,2198.0,2205,2215,2185,2201,2202,718210,15811007900,745149,4,3,0.00181984,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-21,MA,L3,2201,2202.0,2207,2208,2139,2169,2149,846017,18347940000,791632,-52,-32,-0.02362562,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-22,MA,L2,2169,2149.0,2150,2165,2132,2151,2153,650013,13979422300,747152,-16,-18,-0.00737667,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-23,MA,L2,2151,2153.0,2155,2169,2113,2140,2122,958095,20502970950,880640,-29,-11,-0.0134821,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-24,MA,L2,2140,2122.0,2118,2146,2113,2129,2132,973484,20726132300,822793,-8,-11,-0.00373832,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-25,MA,L2,2129,2132.0,2131,2137,2077,2108,2078,1092874,23032488800,994888,-51,-21,-0.02395491,1,0
MA001.XZCE,MA001,XZCE,郑甲醇001,Methanol 001,2019-10-28,MA,L2,2108,2078.0,2080,2093,2059,2080,2086,981203,20413195750,959438,-22,-28,-0.01043643,1,0
