secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-12,NR,L0,9260,9260,9805,10175,9720,9865,9820,43809,4322464200,9728,560,605,0.06047516,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-13,NR,L0,9865,9820,9780,9980,9775,9855,9855,9478,934412450,8932,-10,-10,-0.00101368,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-14,NR,L0,9855,9855,9840,10220,9785,9965,9995,18558,1849307300,11507,140,110,0.01420599,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-15,NR,L0,9965,9995,9935,9980,9850,9905,9865,6098,604070350,11523,-100,-60,-0.01003512,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-16,NR,L0,9905,9865,9860,9940,9830,9880,9875,5077,501676150,11352,-30,-25,-0.00302877,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-19,NR,L0,9880,9875,9885,10080,9885,9995,10030,6610,660978200,12748,150,115,0.01518219,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-20,NR,L0,9995,10030,10030,10035,9945,9985,9975,2545,254238850,12504,-20,-10,-0.002001,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-21,NR,L0,9985,9975,9960,9975,9835,9875,9890,4546,449066300,11878,-95,-110,-0.00951427,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-22,NR,L0,9875,9890,9890,9925,9815,9875,9910,1828,180567550,11574,35,0,0.0035443000000000007,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-23,NR,L0,9875,9910,9860,9905,9780,9820,9815,3156,310049900,10851,-60,-55,-0.00607595,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-26,NR,L0,9820,9815,9840,9940,9700,9825,9915,5260,516889800,10781,95,5,0.00967413,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-27,NR,L0,9825,9915,9915,9980,9860,9915,9900,2362,234265250,10983,75,90,0.00763359,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-28,NR,L0,9915,9900,9930,10095,9860,10000,9970,7170,717311300,12287,55,85,0.00554715,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-29,NR,L0,10000,9970,9965,10030,9905,9965,9940,2039,203267000,12453,-60,-35,-0.006,1,0
NR2002.XSIE,nr2002,XSIE,20号胶2002,TSR 20 2002,2019-08-30,NR,L0,9965,9940,9925,10080,9925,10010,10065,3655,365926350,12369,100,45,0.01003512,1,0
