secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
PP1405.XDCE,pp1405,XDCE,连聚丙烯1405,Polypropylene 1405,2014-02-28,PP,L0,10500,,10680,10720,10604,10670,10657,48791,2603114750,10628,157,170,0.01495238,1,0
PP1405.XDCE,pp1405,XDCE,连聚丙烯1405,Polypropylene 1405,2014-03-03,PP,L0,10670,10657.0,10696,10790,10602,10652,10632,22363,1191081600,9164,-38,-18,-0.00356139,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-04,PP,L4,10307,10298.0,10310,10330,10256,10292,10306,19969,1027614300,12517,-1,-15,-9.702e-05,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-05,PP,L4,10292,10306.0,10359,10360,10262,10303,10299,8828,454775650,11617,7,11,0.00068014,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-06,PP,L4,10303,10299.0,10270,10290,10071,10154,10166,35537,1804248000,16144,-137,-149,-0.013297100000000001,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-07,PP,L4,10154,10166.0,10200,10200,10129,10164,10175,22665,1151840700,18923,21,10,0.00206815,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-10,PP,L4,10164,10175.0,10025,10150,10000,10067,10077,39680,1997362700,23268,-87,-97,-0.00855962,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-11,PP,L4,10067,10077.0,10096,10350,10050,10167,10180,34706,1764366400,19642,113,100,0.0112,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-12,PP,L4,10167,10180.0,10090,10193,10061,10138,10191,23107,1171368500,24658,24,-29,0.00236058,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-13,PP,L4,10138,10191.0,10200,10236,10165,10198,10209,12901,657830800,24972,71,60,0.006999999999999999,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-14,PP,L4,10198,10209.0,10200,10210,10120,10163,10171,22764,1156756300,26012,-27,-35,-0.0026,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-17,PP,L4,10163,10171.0,10165,10290,10140,10182,10171,13060,664911500,26322,8,19,0.00078717,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-18,PP,L4,10182,10171.0,10125,10290,10125,10237,10284,28443,1455902000,25906,102,55,0.01,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-19,PP,L4,10237,10284.0,10300,10348,10214,10278,10214,18105,930493650,24335,-23,41,-0.0022,1,0
PP1409.XDCE,pp1409,XDCE,连聚丙烯1409,Polypropylene 1409,2014-03-20,PP,L4,10278,10214.0,10220,10260,10195,10230,10240,12559,642397650,21901,-38,-48,-0.00369722,1,0
