secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-06,SA,L0,1530,1530,1580,1585,1546,1566,1561,159015,4980607450,19461,31,36,0.02026144,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-09,SA,L0,1566,1561,1564,1591,1556,1571,1572,83739,2630950600,15784,6,5,0.00383142,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-10,SA,L0,1571,1572,1572,1634,1570,1613,1634,110836,3575097700,34088,63,42,0.04010185,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-11,SA,L0,1613,1634,1649,1674,1637,1656,1649,229577,7602419700,33010,36,43,0.02231866,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-12,SA,L0,1656,1649,1642,1654,1625,1642,1630,122811,4033075200,35024,-26,-14,-0.01570048,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-13,SA,L0,1642,1630,1633,1639,1623,1632,1630,66160,2160052700,34693,-12,-10,-0.00730816,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-16,SA,L0,1632,1630,1634,1659,1626,1642,1632,138825,4559828150,38749,0,10,0.0,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-17,SA,L0,1642,1632,1629,1636,1578,1622,1623,111870,3629446600,35298,-19,-20,-0.01157125,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-18,SA,L0,1622,1623,1623,1650,1622,1636,1628,97596,3192742850,35900,6,14,0.00369914,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-19,SA,L0,1636,1628,1628,1641,1623,1633,1626,65476,2138148200,37415,-10,-3,-0.00611247,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-20,SA,L0,1633,1626,1626,1630,1611,1620,1611,67218,2177978600,42062,-22,-13,-0.01347214,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-23,SA,L0,1620,1611,1610,1616,1596,1606,1601,56529,1815990800,41684,-19,-14,-0.0117284,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-24,SA,L0,1606,1601,1603,1614,1600,1607,1604,31042,997392600,41534,-2,1,-0.00124533,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-25,SA,L0,1607,1604,1602,1610,1599,1604,1603,28939,928584100,44016,-4,-3,-0.00248911,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-26,SA,L0,1604,1603,1602,1617,1602,1611,1609,27865,897628100,42882,5,7,0.00311721,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-27,SA,L0,1611,1609,1609,1629,1607,1619,1608,51132,1655673900,43038,-3,8,-0.0018622,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-30,SA,L0,1619,1608,1609,1636,1608,1623,1633,39558,1284024250,40143,14,4,0.00864731,1,0
SA005.XZCE,SA005,XZCE,郑纯碱005,Sodium Carbonate 005,2019-12-31,SA,L0,1623,1633,1633,1643,1629,1635,1633,39573,1293867850,36698,10,12,0.00616143,1,0
