secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-20,T,L3,96.15,,96.9,97.96,96.525,97.05,97.09,3332,3230050900,817,0.94,0.9,0.00977639,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-23,T,L3,97.05,97.09,97.095,97.095,96.84,96.96,97.02,1386,1344329100,1682,-0.03,-0.09,-0.00030912,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-24,T,L3,96.96,97.02,97.135,97.22,96.875,96.91,96.92,1380,1339140000,2102,-0.04,-0.05,-0.00041254,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-25,T,L3,96.91,96.92,97.02,97.03,96.76,96.84,96.85,1234,1195736800,2484,-0.06,-0.07,-0.00061913,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-26,T,L3,96.84,96.85,96.835,96.89,96.37,96.42,96.37,1073,1036144550,3014,-0.47,-0.42,-0.00485337,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-27,T,L3,96.42,96.37,96.3,96.51,95.98,96.375,96.49,1792,1725597200,3577,0.07,-0.045,0.00072599,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-30,T,L3,96.375,96.49,96.065,96.4,96.0,96.09,96.16,1153,1108582900,3869,-0.215,-0.285,-0.00223087,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-03-31,T,L3,96.09,96.16,95.8,95.9,95.565,95.71,95.65,2327,2226815900,4666,-0.44,-0.38,-0.00457904,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-04-01,T,L3,95.71,95.65,95.66,96.095,95.655,95.99,96.095,673,645626000,4551,0.385,0.28,0.00402257,1,0
T1509.CCFX,T1509,CCFX,10年期国债期货1509,10 Year Treasury Bond Futures 1509,2015-04-02,T,L3,95.99,96.095,96.3,96.425,96.2,96.29,96.32,1011,973665850,4613,0.33,0.3,0.00343786,1,0
