secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-10-27,TA,L2,7486,7548.0,7520,7568,7390,7492,7500,422691,15834583500,73891,14,6,0.00187016,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-10-28,TA,L2,7492,7500.0,7498,7604,7408,7506,7466,433655,16271977850,75616,-26,14,-0.00347037,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-10-29,TA,L2,7506,7466.0,7366,7388,7258,7314,7266,264391,9667123450,64591,-240,-192,-0.03197442,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-10-30,TA,L2,7314,7266.0,7410,7488,7370,7432,7408,379119,14086407500,63376,94,118,0.01285206,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-02,TA,L2,7432,7408.0,7248,7388,7200,7320,7382,295406,10812226550,78288,-50,-112,-0.0067,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-03,TA,L2,7320,7382.0,7420,7450,7330,7388,7346,319237,11791571500,80638,26,68,0.00355191,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-04,TA,L2,7388,7346.0,7400,7456,7358,7420,7444,361180,13397488600,86833,56,32,0.00757986,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-05,TA,L2,7420,7444.0,7476,7542,7450,7506,7518,499604,18747035050,105091,98,86,0.0132,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-06,TA,L2,7506,7518.0,7556,7606,7498,7546,7524,445150,16795472850,86727,18,40,0.00239808,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-09,TA,L2,7546,7524.0,7500,7630,7500,7570,7624,312530,11828408600,102077,78,24,0.0103,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-10,TA,L2,7570,7624.0,7666,7688,7614,7652,7654,354536,13563323900,100892,84,82,0.01109643,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-11,TA,L2,7652,7654.0,7690,7778,7676,7728,7772,391030,15108328750,114338,120,76,0.01568217,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-12,TA,L2,7728,7772.0,7800,7818,7740,7778,7758,405407,15766261850,101828,30,50,0.00388199,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-13,TA,L2,7778,7758.0,7680,7740,7652,7708,7734,286570,11044301800,89574,-44,-70,-0.00565698,1,0
TA001.XZCE,TA001,XZCE,郑PTA001,Pure Terephthalic Acid 001,2009-11-16,TA,L1,7708,7734.0,7740,7778,7688,7734,7694,220491,8526557900,82011,-14,26,-0.0018,1,0
