secID,ticker,exchangeCD,secShortName,secShortNameEN,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,settlePrice,closePrice,turnoverVol,turnoverValue,openInt,chg,chg1,chgPct,mainCon,smainCon
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-09,Y,L4,5020,,5300,5350,5070,5164,5096,52839,2728870450,20072,76,144,0.01513944,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-10,Y,L4,5164,5096.0,5072,5108,5050,5083,5086,31770,1614987500,19930,-78,-81,-0.01510457,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-11,Y,L4,5083,5086.0,5072,5094,5060,5072,5080,18759,951553000,19624,-3,-11,-0.0005902,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-12,Y,L4,5072,5080.0,5070,5094,5066,5081,5086,21634,1099309250,19630,14,9,0.00276025,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-13,Y,L4,5081,5086.0,5080,5080,5032,5044,5036,21834,1101484850,19163,-45,-37,-0.00885652,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-16,Y,L4,5044,5036.0,5056,5076,5038,5051,5058,25762,1301312500,17986,14,7,0.00277557,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-17,Y,L4,5051,5058.0,5058,5066,5030,5055,5030,22842,1154751900,17391,-21,4,-0.00415759,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-18,Y,L4,5055,5030.0,5008,5058,5008,5036,5028,30376,1529998200,16946,-27,-19,-0.00534125,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-19,Y,L4,5036,5028.0,5036,5104,5036,5069,5092,33454,1695809900,20512,56,33,0.01111994,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-20,Y,L4,5069,5092.0,5080,5148,5060,5108,5098,38187,1950892150,23898,29,39,0.00572105,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-23,Y,L4,5108,5098.0,5132,5142,5084,5112,5096,34615,1769718250,24253,-12,4,-0.00234926,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-24,Y,L4,5112,5096.0,5100,5100,5008,5051,5050,32667,1650256200,22789,-62,-61,-0.01212833,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-25,Y,L4,5051,5050.0,5046,5076,5030,5051,5058,30234,1527284650,23474,7,0,0.00138586,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-26,Y,L4,5051,5058.0,5038,5060,5020,5049,5026,31259,1578450450,20689,-25,-2,-0.00494951,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-01-27,Y,L4,5049,5026.0,5046,5068,5026,5047,5050,27212,1373644400,20552,1,-2,0.00019806,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-06,Y,L4,5047,5050.0,5198,5236,5150,5214,5200,33650,1754533100,21228,153,167,0.03031504,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-07,Y,L4,5214,5200.0,5150,5176,5110,5154,5164,31623,1629960400,18951,-50,-60,-0.00958957,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-08,Y,L4,5154,5164.0,5100,5106,4970,5076,5064,34311,1741759650,17228,-90,-78,-0.01746217,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-09,Y,L4,5076,5064.0,5080,5106,5048,5071,5058,30129,1528051000,17875,-18,-5,-0.0035461,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-10,Y,L4,5071,5058.0,5122,5122,5060,5090,5080,25958,1321296350,18217,9,19,0.0017748000000000002,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-13,Y,L4,5090,5080.0,5088,5088,5054,5065,5070,23462,1188446900,18215,-20,-25,-0.00392927,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-14,Y,L4,5065,5070.0,5070,5086,5064,5077,5078,29484,1496911300,18019,13,12,0.00256663,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-15,Y,L4,5077,5078.0,5062,5078,5052,5068,5068,31443,1593721600,17788,-9,-9,-0.0017727,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-16,Y,L4,5068,5068.0,5062,5100,5062,5079,5088,32032,1627132500,17951,20,11,0.00394633,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-17,Y,L4,5079,5088.0,5100,5160,5096,5128,5144,36733,1883894400,19947,65,49,0.01279779,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-20,Y,L4,5128,5144.0,5196,5196,5148,5167,5150,28605,1478049800,19607,22,39,0.00429017,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-21,Y,L4,5167,5150.0,5150,5172,5122,5145,5122,24518,1261693800,19323,-45,-22,-0.00870912,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-22,Y,L4,5145,5122.0,5110,5144,5102,5132,5136,24677,1266632700,19347,-9,-13,-0.00174927,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-23,Y,L4,5132,5136.0,5090,5130,5086,5114,5104,26691,1365169000,18273,-28,-18,-0.00545596,1,0
Y0609.XDCE,y0609,XDCE,连豆油0609,Crude soybean oil 609,2006-02-24,Y,L4,5114,5104.0,5112,5236,5112,5182,5202,34894,1808365350,21198,88,68,0.01720767,1,0
